Implementation,Time
Default_3*32x128,1327.03
Default_3*32x128,1383.125
Default_3*32x128,1381.205
Default_3*32x128,1375.0610000000001
Default_3*32x128,1373.4289999999999
Default_3*32x128,1378.837
Default_3*32x128,1379.9569999999999
Default_3*32x128,1373.877
Default_3*32x128,1378.1970000000001
Default_3*32x128,1389.27
Default_3*32x128,1384.821
Default_3*32x128,1379.029
Default_3*32x128,1360.2459999999999
Default_3*32x128,1383.8609999999999
Default_3*32x128,1389.845
Default_3*32x128,1381.653
Default_3*32x128,1381.973
Default_3*32x128,1375.1889999999999
Default_3*32x128,1383.35
Default_3*32x128,1383.413
Default_3*32x128,1355.446
Default_3*32x128,1372.661
Default_3*32x128,1380.533
Default_3*32x128,1403.285
Default_3*32x128,1378.1970000000001
Default_3*32x128,1368.853
Default_3*32x128,1397.365
Default_3*32x128,1356.565
Default_3*32x128,1411.158
Default_3*32x128,1363.893
Default_3*32x128,1361.782
Default_3*32x128,1370.4850000000001
Default_3*32x128,1364.277
Default_3*32x128,1373.109
Default_3*32x128,1389.109
Default_3*32x128,1364.4050000000002
Default_3*32x128,1375.733
Default_3*32x128,1392.309
Default_3*32x128,1376.501
Default_3*32x128,1386.709
Default_3*32x128,1392.053
Default_3*32x128,1372.277
Default_3*32x128,1374.485
Default_3*32x128,1371.285
Default_3*32x128,1395.893
Default_3*32x128,1367.958
Default_3*32x128,1396.085
Default_3*32x128,1374.453
Default_3*32x128,1388.597
Default_3*32x128,1371.669
Default_3*32x128,1401.941
Default_3*32x128,1382.709
Default_3*32x128,1369.845
Default_3*32x128,1385.7169999999999
Default_3*32x128,1372.149
Default_3*32x128,1379.893
Default_3*32x128,1401.364
Default_3*32x128,1378.933
Default_3*32x128,1368.8850000000002
Default_3*32x128,1366.645
Default_3*32x128,1376.341
Default_3*32x128,1366.9669999999999
Default_3*32x128,1377.045
Default_3*32x128,1405.397
Default_3*32x128,1381.205
Default_3*32x128,1370.805
Default_3*32x128,1372.757
Default_3*32x128,1373.333
Default_3*32x128,1371.765
Default_3*32x128,1369.141
Default_3*32x128,1387.0929999999998
Default_3*32x128,1379.4450000000002
Default_3*32x128,1376.725
Default_3*32x128,1362.485
Default_3*32x128,1381.142
Default_3*32x128,1395.925
Default_3*32x128,1370.7730000000001
Default_3*32x128,1365.429
Default_3*32x128,1359.7649999999999
Default_3*32x128,1396.117
Default_3*32x128,1367.221
Default_3*32x128,1377.749
Default_3*32x128,1399.0929999999998
Default_3*32x128,1381.941
Default_3*32x128,1373.589
Default_3*32x128,1362.4850000000001
Default_3*32x128,1380.214
Default_3*32x128,1356.6609999999998
Default_3*32x128,1369.173
Default_3*32x128,1375.893
Default_3*32x128,1372.629
Default_3*32x128,1372.661
Default_3*32x128,1359.029
Default_3*32x128,1396.501
Default_3*32x128,1371.797
Default_3*32x128,1374.357
Default_3*32x128,1379.573
Default_3*32x128,1377.397
Default_3*32x128,1371.733
Default_3*32x128,1387.477
