Omega,Implementation,Time
1.0,CUTLASS,6.300403225806452e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,5.918560606060606e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,5.918560606060606e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,5.964451866873436e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,5.560498220640569e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.080505898090721e-07
1.0,CUTLASS,5.963740458015267e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,5.918560606060606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,5.918560606060606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,5.744485294117647e-07
1.0,CUTLASS,5.941770647653001e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,5.963740458015267e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.104260774020266e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,5.963740458015267e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.152331733727082e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.056935190793458e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,5.87406015037594e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,5.744485294117647e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,5.918560606060606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,5.94106463878327e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,cuBLAS,1.2303149606299212e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.0080645161290323e-06
1.0,cuBLAS,1.0146103896103896e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.0486577181208053e-06
1.0,cuBLAS,9.889240506329115e-07
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0704345964461571e-06
1.0,cuBLAS,1.0416666666666667e-06
1.0,cuBLAS,1.0148163182463973e-06
1.0,cuBLAS,1.0775862068965518e-06
1.0,cuBLAS,1.0629251700680272e-06
1.0,cuBLAS,1.0347682119205298e-06
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,1.001602564102564e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.0347682119205298e-06
1.0,cuBLAS,1.0212418300653596e-06
1.0,cuBLAS,1.0557432432432433e-06
1.0,cuBLAS,1.0212418300653596e-06
1.0,cuBLAS,1.0347682119205298e-06
1.0,cuBLAS,1.0629251700680272e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.0702054794520547e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0416666666666667e-06
1.0,cuBLAS,8.928571428571428e-07
1.0,cuBLAS,1.0018032458425165e-06
1.0,cuBLAS,1.0926573426573427e-06
1.0,cuBLAS,1.1003521126760564e-06
1.0,cuBLAS,1.0212418300653596e-06
1.0,cuBLAS,1.0279605263157895e-06
