Omega,Implementation,Time
1.0,CUTLASS,6.275100401606426e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.128201985537443e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.176652254478072e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.152331733727082e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.176652254478072e-07
1.0,CUTLASS,6.056935190793458e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.176652254478072e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,5.89622641509434e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.128201985537443e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.104260774020266e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,5.808550185873606e-07
1.0,gemv2T_kernel_val,1.2303149606299212e-06
1.0,gemv2T_kernel_val,1.0146103896103896e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,9.889240506329115e-07
1.0,gemv2T_kernel_val,1.0629251700680272e-06
1.0,gemv2T_kernel_val,1.0702054794520547e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,9.889240506329115e-07
1.0,gemv2T_kernel_val,1.0486577181208053e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,1.1081560283687943e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,1.0486577181208053e-06
