Omega,Implementation,Time
1.0,CUTLASS,6.351626016260163e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.032818532818533e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,5.482456140350877e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.103515625e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,5.94106463878327e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.201165819174004e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.056201550387597e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.225099601593626e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.079766536964981e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.080505898090721e-07
1.0,CUTLASS,5.87406015037594e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,5.986590038314176e-07
1.0,CUTLASS,6.009615384615385e-07
1.0,CUTLASS,6.152331733727082e-07
1.0,CUTLASS,6.175889328063241e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.176652254478072e-07
1.0,CUTLASS,6.151574803149606e-07
1.0,CUTLASS,6.127450980392157e-07
1.0,CUTLASS,6.200396825396825e-07
1.0,gemv2T_kernel_val,1.2303149606299212e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,1.0347682119205298e-06
1.0,gemv2T_kernel_val,1.1081560283687943e-06
1.0,gemv2T_kernel_val,1.1081560283687943e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,1.0018032458425165e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,1.0212418300653596e-06
1.0,gemv2T_kernel_val,9.827044025157232e-07
1.0,gemv2T_kernel_val,1.1081560283687943e-06
1.0,gemv2T_kernel_val,1.0557432432432433e-06
1.0,gemv2T_kernel_val,1.0702054794520547e-06
1.0,gemv2T_kernel_val,1.1003521126760564e-06
1.0,gemv2T_kernel_val,1.1160714285714287e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,9.765625e-07
1.0,gemv2T_kernel_val,1.0926573426573427e-06
1.0,gemv2T_kernel_val,1.0212418300653596e-06
1.0,gemv2T_kernel_val,1.0850694444444444e-06
1.0,gemv2T_kernel_val,1.1160714285714287e-06
1.0,gemv2T_kernel_val,1.0702054794520547e-06
1.0,gemv2T_kernel_val,9.765625e-07
